id,predict
0,1
1,1
2,5
3,0
4,3
5,0
6,2
7,0
8,1
9,3
10,1
11,2
12,2
13,0
14,2
15,3
16,2
17,2
18,3
19,1
20,0
21,1
22,3
23,5
24,5
25,2
26,2
27,2
28,0
29,4
30,5
31,0
32,2
33,1
34,4
35,2
36,3
37,1
38,0
39,1
40,1
41,3
42,0
43,3
44,0
45,5
46,0
47,0
48,1
49,2
50,3
51,2
52,3
53,3
54,0
55,4
56,0
57,2
58,2
59,5
60,1
61,4
62,3
63,3
64,1
65,3
66,1
67,0
68,0
69,2
70,1
71,2
72,2
73,4
74,3
75,2
76,4
77,0
78,2
79,4
80,5
81,2
82,0
83,2
84,2
85,2
86,2
87,0
88,0
89,0
90,0
91,3
92,0
93,5
94,1
95,1
96,1
97,2
98,1
99,5
100,0
101,0
102,4
103,1
104,1
105,0
106,3
107,2
108,1
109,3
110,3
111,0
112,5
113,4
114,2
115,2
116,2
117,4
118,1
119,5
120,3
121,0
122,0
123,0
124,5
125,2
126,1
127,2
128,0
129,0
130,3
131,2
132,2
133,0
134,3
135,3
136,0
137,4
138,0
139,0
140,2
141,1
142,4
143,2
144,0
145,2
146,3
147,2
148,1
149,0
150,2
151,3
152,3
153,3
154,1
155,0
156,0
157,3
158,4
159,2
160,1
161,0
162,2
163,3
164,1
165,3
166,3
167,3
168,2
169,4
170,3
171,0
172,1
173,2
174,4
175,3
176,0
177,4
178,1
179,1
180,5
181,2
182,1
183,2
184,2
185,3
186,2
187,0
188,2
189,2
190,2
191,2
192,0
193,3
194,2
195,4
196,5
197,5
198,1
199,2
200,0
201,4
202,0
203,4
204,1
205,1
206,0
207,2
208,0
209,2
210,0
211,5
212,4
213,3
214,0
215,5
216,2
217,4
218,3
219,1
220,0
221,1
222,4
223,2
224,2
225,1
226,2
227,3
228,0
229,3
230,1
231,0
232,1
233,0
234,1
235,4
236,0
237,0
238,2
239,2
240,4
241,3
242,1
243,0
244,3
245,3
246,2
247,5
248,0
249,2
250,1
251,0
252,2
253,1
254,0
255,2
256,0
257,1
258,0
259,1
260,3
261,0
262,2
263,2
264,2
265,3
266,0
267,5
268,4
269,3
270,1
271,1
272,2
273,3
274,4
275,5
276,3
277,1
278,1
279,2
280,1
281,2
282,1
283,3
284,3
285,0
286,2
287,1
288,5
289,2
290,4
291,4
292,1
293,3
294,1
295,1
296,1
297,0
298,3
299,3
300,5
301,5
302,3
303,3
304,3
305,0
306,1
307,0
308,2
309,0
310,4
311,1
312,2
313,4
314,2
315,0
316,1
317,2
318,5
319,5
320,5
321,1
322,5
323,0
324,5
325,1
326,1
327,2
328,1
329,4
330,2
331,4
332,2
333,0
334,2
335,2
336,2
337,1
338,1
339,0
340,0
341,3
342,0
343,0
344,1
345,4
346,0
347,3
348,5
349,5
350,2
351,0
352,2
353,1
354,4
355,3
356,0
357,4
358,4
359,1
360,1
361,0
362,1
363,5
364,1
365,3
366,2
367,5
368,1
369,2
370,3
371,1
372,1
373,5
374,0
375,3
376,1
377,2
378,0
379,3
380,1
381,2
382,1
383,2
384,1
385,2
386,5
387,1
388,2
389,2
390,0
391,5
392,1
393,2
394,3
395,0
396,0
397,4
398,3
399,3
400,0
401,5
402,5
403,0
404,2
405,5
406,0
407,1
408,2
409,0
410,2
411,4
412,2
413,4
414,2
415,2
416,4
417,4
418,0
419,5
420,1
421,2
422,4
423,2
424,0
425,3
426,1
427,3
428,1
429,3
430,0
431,2
432,5
433,2
434,0
435,2
436,0
437,0
438,4
439,3
440,0
441,0
442,4
443,4
444,4
445,2
446,5
447,3
448,2
449,2
450,1
451,2
452,2
453,2
454,1
455,0
456,3
457,1
458,2
459,0
460,3
461,3
462,4
463,0
464,4
465,2
466,1
467,4
468,0
469,1
470,0
471,2
472,2
473,0
474,4
475,5
476,2
477,0
478,0
479,2
480,3
481,1
482,5
483,0
484,2
485,3
486,2
487,0
488,3
489,1
490,4
491,3
492,5
493,4
494,4
495,0
496,5
497,3
498,3
499,5
500,5
501,4
502,1
503,1
504,0
505,5
506,3
507,0
508,1
509,2
510,1
511,1
512,0
513,0
514,5
515,5
516,0
517,1
518,4
519,1
520,2
521,0
522,5
523,1
524,0
525,3
526,1
527,5
528,5
529,1
530,3
531,4
532,0
533,2
534,1
535,2
536,1
537,3
538,0
539,0
540,1
541,0
542,3
543,1
544,1
545,3
546,0
547,3
548,2
549,3
550,1
551,2
552,2
553,2
554,3
555,1
556,1
557,2
558,2
559,2
560,1
561,5
562,1
563,2
564,3
565,5
566,2
567,1
568,3
569,3
570,5
571,4
572,2
573,3
574,3
575,4
576,3
577,5
578,3
579,1
580,2
581,2
582,3
583,1
584,4
585,5
586,1
587,2
588,0
589,3
590,3
591,3
592,1
593,1
594,5
595,3
596,2
597,2
598,5
599,0
600,4
601,2
602,0
603,3
604,0
605,2
606,2
607,2
608,1
609,2
610,1
611,0
612,1
613,0
614,3
615,2
616,1
617,4
618,3
619,1
620,2
621,4
622,1
623,3
624,3
625,0
626,0
627,0
628,0
629,2
630,0
631,4
632,3
633,0
634,1
635,4
636,2
637,1
638,1
639,3
640,1
641,3
642,2
643,3
644,0
645,4
646,1
647,2
648,0
649,1
650,4
651,2
652,2
653,4
654,3
655,0
656,4
657,4
658,0
659,2
660,1
661,4
662,2
663,1
664,2
665,5
666,1
667,5
668,2
669,5
670,1
671,1
672,2
673,3
674,3
675,1
676,0
677,1
678,2
679,2
680,0
681,2
682,2
683,2
684,3
685,1
686,0
687,4
688,3
689,2
690,5
691,1
692,2
693,0
694,0
695,4
696,2
697,0
698,1
699,5
700,5
701,1
702,0
703,1
704,3
705,0
706,0
707,2
708,2
709,0
710,5
711,1
712,5
713,5
714,0
715,3
716,4
717,3
718,2
719,0
720,2
721,0
722,4
723,1
724,0
725,3
726,2
727,4
728,3
729,0
730,3
731,5
732,2
733,2
734,0
735,2
736,2
737,0
738,0
739,0
740,3
741,3
742,3
743,3
744,0
745,5
746,0
747,1
748,0
749,0
750,3
751,3
752,1
753,2
754,5
755,1
756,5
757,5
758,0
759,3
760,1
761,2
762,1
763,2
764,3
765,0
766,2
767,1
768,4
769,2
770,0
771,1
772,5
773,3
774,1
775,5
776,5
777,2
778,2
779,0
780,1
781,1
782,5
783,2
784,5
785,4
786,3
787,3
788,1
789,5
790,5
791,4
792,2
793,3
794,2
795,2
796,4
797,0
798,0
799,0
800,3
801,1
802,1
803,1
804,0
805,0
806,0
807,4
808,2
809,1
810,3
811,4
812,3
